id,key,text,type,,,,,,,
243,30BXXS,30B (XX-Small),bustSizes,,,,,,,
244,30CXS,30C (X-Small),bustSizes,,,,,,,
245,30DXS,30D (X-Small),bustSizes,,,,,,,
246,30E,30E (30DD US),bustSizes,,,,,,,
247,30F,30F (30DDD US),bustSizes,,,,,,,
248,30G,30G US,bustSizes,,,,,,,
249,30H,30H US,bustSizes,,,,,,,
250,30I,30I US,bustSizes,,,,,,,
251,30J,30J US,bustSizes,,,,,,,
252,30K+,30K+ US,bustSizes,,,,,,,
253,32AA,32AA,bustSizes,,,,,,,
254,32I,32I US,bustSizes,,,,,,,
255,32J,32J US,bustSizes,,,,,,,
256,32K+,32K+ US,bustSizes,,,,,,,
257,34I,34I US,bustSizes,,,,,,,
258,34J,34J US,bustSizes,,,,,,,
259,34K+,34K+ US,bustSizes,,,,,,,
260,36I,36I US,bustSizes,,,,,,,
261,36J,36J US,bustSizes,,,,,,,
262,36K+,36K+ US,bustSizes,,,,,,,
263,38I,38I US,bustSizes,,,,,,,
264,38J,38J US,bustSizes,,,,,,,
265,38K+,38K+ US,bustSizes,,,,,,,
266,40I,40I US,bustSizes,,,,,,,
267,40J,40J US,bustSizes,,,,,,,
268,40K+,40K+ US,bustSizes,,,,,,,
269,42I,42I US,bustSizes,,,,,,,
270,42J,42J US,bustSizes,,,,,,,
271,42K+,42K+ US,bustSizes,,,,,,,
275,46B,46B,bustSizes,,,,,,,
276,46C,46C,bustSizes,,,,,,,
277,46D,46D,bustSizes,,,,,,,
278,46E,46E (46DD US),bustSizes,,,,,,,
279,46F,46F (46DDD US),bustSizes,,,,,,,
280,46G,46G US,bustSizes,,,,,,,
281,46H,46H US,bustSizes,,,,,,,
282,46I,46I US,bustSizes,,,,,,,
283,46J,46J US,bustSizes,,,,,,,
284,46K+,46K+ US,bustSizes,,,,,,,
285,48C,48C,bustSizes,,,,,,,
286,48D,48D,bustSizes,,,,,,,
287,48E,48E (48DD US),bustSizes,,,,,,,
288,48F,48F (48DDD US),bustSizes,,,,,,,
289,1X,1X (16-18),womenLetter,,,,,,,
290,PXXS,Petite XXS (0),womenLetter,,,,,,,
291,PXS,Petite XS (0-2),womenLetter,,,,,,,
292,PS,Petite S (4-6),womenLetter,,,,,,,
293,PM,Petite M (8-10),womenLetter,,,,,,,
294,PL,Petite L (12-14),womenLetter,,,,,,,
295,PXL,Petite XL (16-18),womenLetter,,,,,,,
296,P1X,Petite P1X (16-18),womenLetter,,,,,,,
297,P2XL,Petite 2XL (20-22),womenLetter,,,,,,,
298,P3XL,Petite 3XL (24-26),womenLetter,,,,,,,
299,P4XL,Petite 4XL (28-30),womenLetter,,,,,,,
300,P5XL,Petite 5XL (32-34),womenLetter,,,,,,,
301,MXXS,Maternity XXS (0),womenLetter,,,,,,,
302,MXS,Maternity XS (0-2),womenLetter,,,,,,,
303,MS,Maternity S (4-6),womenLetter,,,,,,,
304,MM,Maternity M (8-10),womenLetter,,,,,,,
305,ML,Maternity L (12-14),womenLetter,,,,,,,
306,MXL,Maternity XL (16-18),womenLetter,,,,,,,
307,M1X,Maternity P1X (16-18),womenLetter,,,,,,,
308,M2XL,Maternity 2XL (20-22),womenLetter,,,,,,,
309,M3XL,Maternity 3XL (24-26),womenLetter,,,,,,,
310,M4XL,Maternity 4XL (28-30),womenLetter,,,,,,,
311,M5XL,Maternity 5XL (32-34),womenLetter,,,,,,,
312,TXXS,Tall XXS (0),womenLetter,,,,,,,
313,TXS,Tall XS (0-2),womenLetter,,,,,,,
314,TS,Tall S (4-6),womenLetter,,,,,,,
315,TM,Tall M (8-10),womenLetter,,,,,,,
316,TL,Tall L (12-14),womenLetter,,,,,,,
317,TXL,Tall XL (16-18),womenLetter,,,,,,,
318,T1X,Tall P1X (16-18),womenLetter,,,,,,,
319,T2XL,Tall 2XL (20-22),womenLetter,,,,,,,
320,T3XL,Tall 3XL (24-26),womenLetter,,,,,,,
321,T4XL,Tall 4XL (28-30),womenLetter,,,,,,,
322,T5XL,Tall 5XL (32-34),womenLetter,,,,,,,
323,12.5,12.5 (43),womenFootwear,,,,,,,
324,13,13 (43.5),womenFootwear,,,,,,,
325,13.5,13.5 (44),womenFootwear,,,,,,,
326,14+,14 & Up (44.5),womenFootwear,,,,,,,
327,54,54 in,waistSizes,,,,,,,
328,56,56 in,waistSizes,,,,,,,
329,58+,58+ in,waistSizes,,,,,,,
330,34R,34R,suitSizes,,,,,,,
331,35R,35R,suitSizes,,,,,,,
332,T4XL,Tall 4XL (58-60),menLetter,,,,,,,
333,T5XL,Tall 5XL (62-64),menLetter,,,,,,,
334,5,5 (38),menFootwear,,,,,,,
335,5.5,5.5 (38.5),menFootwear,,,,,,,
336,17,17 (49.5),menFootwear,,,,,,,
337,18,18 (50),menFootwear,,,,,,,
338,19,19 (50.5),menFootwear,,,,,,,
339,20,20 (51),menFootwear,,,,,,,
340,TM,Tall M,menLetter,,,,,,,
341,TL,Tall L,menLetter,,,,,,,
342,TXL,Tall XL,menLetter,,,,,,,
343,TXXL,Tall XXL,menLetter,,,,,,,
344,TXXXL+,Tall XXXL+,menLetter,,,,,,,
345,B1X,Big 1X,menLetter,,,,,,,
346,B2X,Big 2X,menLetter,,,,,,,
347,B3X,Big 3X,menLetter,,,,,,,
348,B4X,Big 4X,menLetter,,,,,,,
351,JXS,Juniors: XS (0-1),womenLetter,,,,,,,
352,JS,Juniors: S (3-5),womenLetter,,,,,,,
353,JM,Juniors: M (7-9),womenLetter,,,,,,,
354,JL,Juniors: L (11-13),womenLetter,,,,,,,
355,JXL,Juniors: XL (15-17),womenLetter,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
85,,,,,,,,,,
86,"85,86",,,,,,,,,
87,"85,86,87",,,,,,,,,
88,"85,86,87,88",,,,,,,,,
89,"85,86,87,88,89",,,,,,,,,
90,"85,86,87,88,89,90",,,,,,,,,
92,"85,86,87,88,89,90,92",,,,,,,,,
93,"85,86,87,88,89,90,92,93",,,,,,,,,
94,"85,86,87,88,89,90,92,93,94",,,,,,,,,
165,"85,86,87,88,89,90,92,93,94,165",,,,,,,,,
166,"85,86,87,88,89,90,92,93,94,165,166",,,,,,,,,
