"name","id"
"New Line","65e5614a0db381d3ee1e181c"
"Random House","65e561650db381d3ee1e181e"
"Scholastic","65e561700db381d3ee1e1820"
"Stuff at the Palms - Las Vegas","65e5618a0db381d3ee1e1822"
"Aquarius","65e6ee3fc3d74759e9e22cb7"
"Bose","65e6ee6ac3d74759e9e22cb9"
"Dimensions","65e6eed0c3d74759e9e22cbb"
"InterAct","65e6ef01c3d74759e9e22cbd"
"Intermatic","65e6ef24c3d74759e9e22cbf"
"Lillian Vernon","65e6ef51c3d74759e9e22cc1"
"Performance","65e6efa0c3d74759e9e22cc3"
"Rouge Helium","65e6efd4c3d74759e9e22cc5"
"Torino","6677507065db81115786f386"
"Sodastream","6679a3c340b72220cb7d7373"
"HGST","6686a555183b0f52326b2e24"
"Hitachi","6688f4ebbbd5b3584e108079"
"Intel","668994b6464564995c53d932"
"Micron","6689ceb77f7c12c812664de6"
"Ramaxel","6689f5644cbb6fd174846b21"
"Rodale Press","668fdd366c4b8ea3fb0338c7"
"Qubica","6696468368ec15b2a5d9e5f6"
"Commercial Electric","6696489768ec15b2a5d9e612"
"Bass","6696863d21673a85d1a63d6b"
"Great American Fun Corp","66968ad055d4c136453b3a20"
"Columbia 300","6696d971754b923a994ab8e5"
"Autophix","66970569eb6d7897e20e0ae6"
"Fable Toy Corp","66970df67a2cea4625b1ddd8"
"Epson","669711c47a2cea4625b1de26"
"Parker Brothers","6697b7f6d9e1a3efb36c5c8f"
"Toshiba","6697fd6f4bc1876743259d2d"
"Nadel & Sons Toy Corp","66986b2d055ebf0aa9d9f899"
"Route 66 Supply Line","66987b3bab955e7a8730ff15"
"LEI","66988334ab955e7a8730ff65"
"Apex","6698b6988a5221e3b86db0c4"
"Easton Press","669a022ab69717f439f3939d"
"McDonald's","669b12960a2d956b20d277a0"
"Caledonia Fur","669c08de64b90642d1c57482"
"Abercrombie & Fitch","669c9089c4ce40b9e8978096"
"Milton","669c9432c4ce40b9e89780e7"
"Pyrex","669c95f7c4ce40b9e8978112"
"Footaction","669dda13a6efcc949f63a524"
"Southpole","669df154bd5b94e5131c7422"
"Metal Mulisha","669df887bd5b94e5131c7494"
"Christian Dior","669f635b3fd792cb318e6874"
"Savada Bros","669f6db73fd792cb318e68c0"
"OshKosh B'gosh","669f713b6d02727410e6e510"
"Carter's","669f78bb6d02727410e6e545"
"Garanimals","669fbe5b26ac15ea654dc020"
